Fecha;INDICATIVO;DIAS_SOL
01-04-2016;0016A;3
01-05-2016;0016A;5
01-06-2016;0016A;8
01-07-2016;0016A;13
01-08-2016;0016A;7
01-09-2016;0016A;6
01-10-2016;0016A;2
01-11-2016;0016A;5
01-12-2016;0016A;6
01-01-2016;9981A;3
01-02-2016;9981A;6
01-03-2016;9981A;3
01-04-2016;9981A;8
01-05-2016;9981A;5
01-06-2016;9981A;6
01-07-2016;9981A;15
01-08-2016;9981A;14
01-09-2016;9981A;6
01-10-2016;9981A;2
01-11-2016;9981A;6
01-12-2016;9981A;10
01-01-2016;8414A;2
01-02-2016;8414A;7
01-03-2016;8414A;6
01-04-2016;8414A;4
01-05-2016;8414A;7
01-06-2016;8414A;9
01-07-2016;8414A;16
01-08-2016;8414A;15
01-09-2016;8414A;7
01-10-2016;8414A;4
01-11-2016;8414A;9
01-12-2016;8414A;7
01-01-2016;2422;1
01-02-2016;2422;5
01-03-2016;2422;3
01-04-2016;2422;1
01-05-2016;2422;4
01-06-2016;2422;9
01-07-2016;2422;20
01-08-2016;2422;18
01-09-2016;2422;9
01-10-2016;2422;8
01-11-2016;2422;2
01-12-2016;2422;4
01-01-2016;2539;2
01-02-2016;2539;5
01-03-2016;2539;1
01-04-2016;2539;1
01-05-2016;2539;5
01-06-2016;2539;10
01-07-2016;2539;20
01-08-2016;2539;19
01-09-2016;2539;11
01-10-2016;2539;7
01-11-2016;2539;2
01-12-2016;2539;4
01-01-2016;9390;2
01-02-2016;9390;6
01-03-2016;9390;1
01-04-2016;9390;5
01-05-2016;9390;5
01-06-2016;9390;8
01-07-2016;9390;15
01-08-2016;9390;15
01-09-2016;9390;4
01-10-2016;9390;9
01-11-2016;9390;6
01-12-2016;9390;5
01-01-2016;9434;0
01-02-2016;9434;5
01-03-2016;9434;2
01-04-2016;9434;2
01-05-2016;9434;4
01-06-2016;9434;6
01-07-2016;9434;14
01-08-2016;9434;14
01-09-2016;9434;3
01-10-2016;9434;2
01-11-2016;9434;3
01-12-2016;9434;1
01-01-2017;1387;0
01-02-2017;1387;0
01-03-2017;1387;0
01-04-2017;1387;0
01-05-2017;1387;0
01-06-2017;1387;0
01-07-2017;1387;0
01-08-2017;1387;0
01-09-2017;1387;0
01-10-2017;1387;0
01-11-2017;1387;4
01-12-2017;1387;0
01-01-2017;1387E;9
01-02-2017;1387E;2
01-03-2017;1387E;5
01-04-2017;1387E;13
01-05-2017;1387E;3
01-06-2017;1387E;5
01-07-2017;1387E;5
01-08-2017;1387E;5
01-09-2017;1387E;3
01-10-2017;1387E;10
01-11-2017;1387E;9
01-12-2017;1387E;7
01-01-2017;1428;6
01-02-2017;1428;2
01-03-2017;1428;4
01-04-2017;1428;11
01-05-2017;1428;2
01-06-2017;1428;4
01-07-2017;1428;4
01-08-2017;1428;3
01-09-2017;1428;0
01-10-2017;1428;13
01-11-2017;1428;6
01-12-2017;1428;8
01-01-2017;8175;5
01-02-2017;8175;5
01-03-2017;8175;7
01-04-2017;8175;12
01-05-2017;8175;9
01-06-2017;8175;12
01-07-2017;8175;19
01-08-2017;8175;12
01-09-2017;8175;11
01-10-2017;8175;14
01-11-2017;8175;16
01-12-2017;8175;8
01-01-2017;8019;8
01-02-2017;8019;5
01-03-2017;8019;11
01-04-2017;8019;7
01-05-2017;8019;10
01-06-2017;8019;19
01-07-2017;8019;17
01-08-2017;8019;9
01-09-2017;8019;9
01-10-2017;8019;13
01-11-2017;8019;14
01-12-2017;8019;10
01-01-2017;6325O;8
01-02-2017;6325O;3
01-03-2017;6325O;11
01-04-2017;6325O;11
01-05-2017;6325O;8
01-06-2017;6325O;21
01-07-2017;6325O;24
01-08-2017;6325O;14
01-09-2017;6325O;11
01-10-2017;6325O;18
01-11-2017;6325O;16
01-12-2017;6325O;11
01-01-2017;9091O;1
01-02-2017;9091O;0
01-03-2017;9091O;2
01-04-2017;9091O;6
01-05-2017;9091O;1
01-06-2017;9091O;3
01-07-2017;9091O;0
01-08-2017;9091O;5
01-09-2017;9091O;0
01-10-2017;9091O;4
01-11-2017;9091O;0
01-12-2017;9091O;1
01-01-2017;1212E;4
01-02-2017;1212E;0
01-03-2017;1212E;0
01-04-2017;1212E;5
01-05-2017;1212E;0
01-06-2017;1212E;1
01-07-2017;1212E;0
01-08-2017;1212E;3
01-09-2017;1212E;0
01-10-2017;1212E;5
01-11-2017;1212E;2
01-12-2017;1212E;2
01-01-2017;1208H;5
01-02-2017;1208H;0
01-03-2017;1208H;0
01-04-2017;1208H;6
01-05-2017;1208H;0
01-06-2017;1208H;0
01-07-2017;1208H;0
01-08-2017;1208H;0
01-09-2017;1208H;0
01-10-2017;1208H;0
01-11-2017;1208H;7
01-12-2017;1208H;6
01-01-2017;1249I;4
01-02-2017;1249I;2
01-03-2017;1249I;1
01-04-2017;1249I;8
01-05-2017;1249I;0
01-06-2017;1249I;1
01-07-2017;1249I;1
01-08-2017;1249I;6
01-09-2017;1249I;0
01-10-2017;1249I;5
01-11-2017;1249I;2
01-12-2017;1249I;4
01-01-2017;4452;11
01-02-2017;4452;5
01-03-2017;4452;8
01-04-2017;4452;10
01-05-2017;4452;9
01-06-2017;4452;11
01-07-2017;4452;23
01-08-2017;4452;22
01-09-2017;4452;20
01-10-2017;4452;21
01-11-2017;4452;18
01-12-2017;4452;14
01-01-2017;B954;3
01-02-2017;B954;3
01-03-2017;B954;5
01-04-2017;B954;9
01-05-2017;B954;10
01-06-2017;B954;13
01-07-2017;B954;15
01-08-2017;B954;9
01-09-2017;B954;5
01-10-2017;B954;8
01-11-2017;B954;0
01-12-2017;B954;2
01-01-2017;B893;2
01-02-2017;B893;1
01-03-2017;B893;7
01-04-2017;B893;0
01-05-2017;B893;6
01-06-2017;B893;14
01-07-2017;B893;10
01-08-2017;B893;8
01-09-2017;B893;1
