FECHA;INDICATIVO;LLUVIA_sup_1mm
01-03-2019;C429I;1
01-04-2019;C429I;2
01-05-2019;C429I;0
01-06-2019;C429I;0
01-07-2019;C429I;0
01-08-2019;C429I;0
01-09-2019;C429I;1
01-10-2019;C429I;1
01-11-2019;C429I;0
01-12-2019;C429I;0
01-01-2019;2465;6
01-02-2019;2465;1
01-03-2019;2465;2
01-04-2019;2465;12
01-05-2019;2465;1
01-06-2019;2465;2
01-07-2019;2465;3
01-08-2019;2465;4
01-09-2019;2465;3
01-10-2019;2465;10
01-11-2019;2465;17
01-12-2019;2465;9
01-01-2019;5796;4
01-02-2019;5796;1
01-03-2019;5796;3
01-04-2019;5796;10
01-05-2019;5796;0
01-06-2019;5796;0
01-07-2019;5796;0
01-08-2019;5796;0
01-09-2019;5796;6
01-10-2019;5796;3
01-11-2019;5796;8
01-12-2019;5796;5
01-01-2019;5783;4
01-02-2019;5783;0
01-03-2019;5783;1
01-04-2019;5783;12
01-05-2019;5783;0
01-06-2019;5783;0
01-07-2019;5783;0
01-08-2019;5783;0
01-09-2019;5783;1
01-10-2019;5783;2
01-11-2019;5783;7
01-12-2019;5783;6
01-01-2019;2030;5
01-02-2019;2030;2
01-03-2019;2030;2
01-04-2019;2030;12
01-05-2019;2030;4
01-06-2019;2030;5
01-07-2019;2030;8
01-08-2019;2030;3
01-09-2019;2030;4
01-10-2019;2030;7
01-11-2019;2030;19
01-12-2019;2030;6
01-01-2019;0016A;1
01-02-2019;0016A;1
01-03-2019;0016A;0
01-04-2019;0016A;5
01-05-2019;0016A;4
01-06-2019;0016A;1
01-07-2019;0016A;3
01-08-2019;0016A;3
01-09-2019;0016A;4
01-10-2019;0016A;3
01-11-2019;0016A;4
01-12-2019;0016A;5
01-01-2019;9981A;1
01-02-2019;9981A;1
01-03-2019;9981A;1
01-04-2019;9981A;5
01-05-2019;9981A;3
01-06-2019;9981A;1
01-07-2019;9981A;2
01-08-2019;9981A;5
01-09-2019;9981A;4
01-10-2019;9981A;3
01-11-2019;9981A;4
01-12-2019;9981A;4
01-01-2019;9381I;6
01-02-2019;9381I;1
01-03-2019;9381I;2
01-04-2019;9381I;13
01-05-2019;9381I;0
01-06-2019;9381I;0
01-07-2019;9381I;6
01-08-2019;9381I;4
01-09-2019;9381I;3
01-10-2019;9381I;2
01-11-2019;9381I;10
01-12-2019;9381I;6
01-01-2019;8368U;1
01-02-2019;8368U;1
01-03-2019;8368U;1
01-04-2019;8368U;8
01-05-2019;8368U;3
01-06-2019;8368U;1
01-07-2019;8368U;3
01-08-2019;8368U;3
01-09-2019;8368U;6
01-10-2019;8368U;3
01-11-2019;8368U;6
01-12-2019;8368U;5
01-01-2019;3260B;3
01-02-2019;3260B;1
01-03-2019;3260B;1
01-04-2019;3260B;0
01-05-2019;3260B;0
01-06-2019;3260B;0
01-07-2019;3260B;2
01-08-2019;3260B;1
01-09-2019;3260B;0
01-10-2019;3260B;2
01-11-2019;3260B;9
01-12-2019;3260B;6
01-01-2019;8416;0
01-02-2019;8416;0
01-03-2019;8416;3
01-04-2019;8416;9
01-05-2019;8416;5
01-06-2019;8416;0
01-07-2019;8416;2
01-08-2019;8416;3
01-09-2019;8416;6
01-10-2019;8416;4
01-11-2019;8416;2
01-12-2019;8416;4
01-01-2019;8414A;0
01-02-2019;8414A;0
01-03-2019;8414A;3
01-04-2019;8414A;7
01-05-2019;8414A;5
01-06-2019;8414A;0
01-07-2019;8414A;2
01-08-2019;8414A;2
01-09-2019;8414A;6
01-10-2019;8414A;3
01-11-2019;8414A;2
01-12-2019;8414A;4
01-01-2019;2422;4
01-02-2019;2422;0
01-03-2019;2422;2
01-04-2019;2422;10
01-05-2019;2422;2
01-06-2019;2422;2
01-07-2019;2422;4
01-08-2019;2422;3
01-09-2019;2422;6
01-10-2019;2422;8
01-11-2019;2422;15
01-12-2019;2422;8
01-01-2019;2539;4
01-02-2019;2539;1
01-03-2019;2539;2
01-04-2019;2539;10
01-05-2019;2539;2
01-06-2019;2539;3
01-07-2019;2539;3
01-08-2019;2539;2
01-09-2019;2539;5
01-10-2019;2539;9
01-11-2019;2539;16
01-12-2019;2539;7
01-01-2019;2614;3
01-02-2019;2614;2
01-03-2019;2614;3
01-04-2019;2614;9
01-05-2019;2614;0
01-06-2019;2614;4
01-07-2019;2614;4
01-08-2019;2614;2
01-09-2019;2614;1
01-10-2019;2614;10
01-11-2019;2614;16
01-12-2019;2614;7
01-01-2019;9390;6
01-02-2019;9390;2
01-03-2019;9390;3
01-04-2019;9390;11
01-05-2019;9390;8
01-06-2019;9390;3
01-07-2019;9390;4
01-08-2019;9390;3
01-09-2019;9390;3
01-10-2019;9390;3
01-11-2019;9390;10
01-12-2019;9390;7
01-01-2019;9434;4
01-02-2019;9434;1
01-03-2019;9434;1
01-04-2019;9434;8
01-05-2019;9434;5
01-06-2019;9434;2
01-07-2019;9434;4
01-08-2019;9434;2
01-09-2019;9434;0
01-10-2019;9434;4
01-11-2019;9434;12
01-12-2019;9434;6
