FECHA;INDICATIVO;TEMP_sup_30
01-06-2019;9390;15
01-07-2019;9390;24
01-08-2019;9390;21
01-09-2019;9390;5
01-10-2019;9390;1
01-11-2019;9390;0
01-12-2019;9390;0
01-01-2019;9434;0
01-02-2019;9434;0
01-03-2019;9434;0
01-04-2019;9434;0
01-05-2019;9434;2
01-06-2019;9434;18
01-07-2019;9434;27
01-08-2019;9434;25
01-09-2019;9434;10
01-10-2019;9434;0
01-11-2019;9434;0
01-12-2019;9434;0
