FECHA;INDICATIVO;EVAPORACION
01-11-2018;9390;537
01-12-2018;9390;0
01-01-2018;9434;1130
01-02-2018;9434;1489
01-03-2018;9434;1936
01-04-2018;9434;1616
01-05-2018;9434;2347
01-06-2018;9434;2663
01-07-2018;9434;3312
01-08-2018;9434;3047
01-09-2018;9434;2266
01-10-2018;9434;2040
01-11-2018;9434;773
01-12-2018;9434;785
