FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-11-2021;7228;19.6
01-12-2021;7228;18.8
01-01-2021;7031;16.7
01-02-2021;7031;18.1
01-03-2021;7031;17.3
01-04-2021;7031;19.7
01-05-2021;7031;23.6
01-06-2021;7031;26.5
01-07-2021;7031;29.7
01-08-2021;7031;30.2
01-09-2021;7031;28.3
01-10-2021;7031;24.5
01-11-2021;7031;19.3
01-12-2021;7031;18.2
01-01-2021;9263D;8.6
01-02-2021;9263D;14.5
01-03-2021;9263D;15.2
01-04-2021;9263D;16.9
01-05-2021;9263D;21.8
01-06-2021;9263D;26.1
01-07-2021;9263D;0
01-08-2021;9263D;29.7
01-09-2021;9263D;26.3
01-10-2021;9263D;20.5
01-11-2021;9263D;0
01-12-2021;9263D;8.8
01-01-2021;9262;8.7
01-02-2021;9262;0
01-03-2021;9262;14.7
01-04-2021;9262;16.3
01-05-2021;9262;20.8
01-06-2021;9262;25.2
01-07-2021;9262;27.3
01-08-2021;9262;28.3
01-09-2021;9262;25.4
01-10-2021;9262;19.9
01-11-2021;9262;11.3
01-12-2021;9262;9.5
01-01-2021;1690A;11.6
01-02-2021;1690A;15.8
01-03-2021;1690A;19.8
01-04-2021;1690A;21.3
01-05-2021;1690A;23.6
01-06-2021;1690A;27.1
01-07-2021;1690A;29.1
01-08-2021;1690A;31.3
01-09-2021;1690A;27.1
01-10-2021;1690A;23.5
01-11-2021;1690A;16.1
01-12-2021;1690A;15.9
01-01-2021;1484C;11.7
01-02-2021;1484C;14.9
01-03-2021;1484C;17.8
01-04-2021;1484C;19.7
01-05-2021;1484C;19.5
01-06-2021;1484C;23.7
01-07-2021;1484C;24.2
01-08-2021;1484C;25.4
01-09-2021;1484C;24.2
01-10-2021;1484C;21.6
01-11-2021;1484C;16.1
01-12-2021;1484C;15.3
01-01-2021;1495;11.2
01-02-2021;1495;14.0
01-03-2021;1495;0
01-04-2021;1495;19.0
01-05-2021;1495;18.5
01-06-2021;1495;23.2
01-07-2021;1495;23.8
01-08-2021;1495;25.6
01-09-2021;1495;23.5
01-10-2021;1495;20.8
01-11-2021;1495;0
01-12-2021;1495;14.4
01-01-2021;2867;7.7
01-02-2021;2867;13.7
01-03-2021;2867;16.0
01-04-2021;2867;17.7
01-05-2021;2867;21.9
01-06-2021;2867;27.2
01-07-2021;2867;30.0
01-08-2021;2867;31.6
01-09-2021;2867;24.7
01-10-2021;2867;21.5
01-11-2021;2867;11.3
01-12-2021;2867;11.7
01-01-2021;2870;9.1
01-02-2021;2870;14.1
01-03-2021;2870;16.8
01-04-2021;2870;18.4
01-05-2021;2870;22.5
01-06-2021;2870;27.5
01-07-2021;2870;30.4
01-08-2021;2870;31.9
01-09-2021;2870;24.9
01-10-2021;2870;22.0
01-11-2021;2870;12.5
01-12-2021;2870;12.5
01-01-2021;C929I;21.1
01-02-2021;C929I;21.0
01-03-2021;C929I;21.3
01-04-2021;C929I;23.0
01-05-2021;C929I;22.7
01-06-2021;C929I;23.8
01-07-2021;C929I;24.4
01-08-2021;C929I;26.4
01-09-2021;C929I;27.0
01-10-2021;C929I;25.3
01-11-2021;C929I;23.2
01-12-2021;C929I;22.1
01-01-2021;C430E;8.4
01-02-2021;C430E;8.8
01-03-2021;C430E;10.3
01-04-2021;C430E;12.4
01-05-2021;C430E;15.7
01-06-2021;C430E;18.8
01-07-2021;C430E;24.2
01-08-2021;C430E;21.5
01-09-2021;C430E;20.0
01-10-2021;C430E;17.9
01-11-2021;C430E;10.7
01-12-2021;C430E;9.9
01-01-2021;C139E;20.6
01-02-2021;C139E;21.0
01-03-2021;C139E;21.3
01-04-2021;C139E;22.8
01-05-2021;C139E;0
01-06-2021;C139E;23.9
01-07-2021;C139E;25.1
01-08-2021;C139E;27.3
01-09-2021;C139E;27.0
01-10-2021;C139E;25.6
01-11-2021;C139E;22.8
01-12-2021;C139E;22.0
01-01-2021;C449C;21.5
01-02-2021;C449C;21.8
01-03-2021;C449C;22.8
01-04-2021;C449C;23.9
01-05-2021;C449C;25.3
01-06-2021;C449C;26.4
01-07-2021;C449C;29.0
01-08-2021;C449C;29.4
01-09-2021;C449C;28.1
01-10-2021;C449C;26.7
01-11-2021;C449C;23.3
01-12-2021;C449C;22.3
01-01-2021;C447A;17.3
01-02-2021;C447A;17.2
01-03-2021;C447A;17.2
01-04-2021;C447A;20.0
01-05-2021;C447A;20.2
01-06-2021;C447A;22.5
01-07-2021;C447A;24.9
01-08-2021;C447A;26.8
01-09-2021;C447A;25.6
01-10-2021;C447A;24.1
01-11-2021;C447A;18.8
01-12-2021;C447A;17.9
01-01-2021;C429I;21.9
01-02-2021;C429I;22.5
01-03-2021;C429I;23.1
01-04-2021;C429I;24.2
01-05-2021;C429I;0
01-06-2021;C429I;26.1
01-07-2021;C429I;28.8
01-08-2021;C429I;29.8
01-09-2021;C429I;29.0
01-10-2021;C429I;27.6
01-11-2021;C429I;24.3
01-12-2021;C429I;23.0
01-01-2021;2465;6.9
01-02-2021;2465;12.7
01-03-2021;2465;13.6
01-04-2021;2465;15.2
01-05-2021;2465;20.0
01-06-2021;2465;25.4
01-07-2021;2465;28.9
01-08-2021;2465;30.7
01-09-2021;2465;23.1
01-10-2021;2465;20.1
01-11-2021;2465;8.8
01-12-2021;2465;11.9
01-01-2021;5796;15.2
01-02-2021;5796;18.9
01-03-2021;5796;21.9
01-04-2021;5796;24.3
01-05-2021;5796;29.5
01-06-2021;5796;32.0
01-07-2021;5796;36.9
01-08-2021;5796;37.1
01-09-2021;5796;32.2
01-10-2021;5796;28.9
01-11-2021;5796;19.3
01-12-2021;5796;19.1
01-01-2021;5783;15.0
01-02-2021;5783;18.7
01-03-2021;5783;0
01-04-2021;5783;24.0
01-05-2021;5783;29.2
01-06-2021;5783;32.2
01-07-2021;5783;0
01-08-2021;5783;36.7
01-09-2021;5783;0
01-10-2021;5783;0
01-11-2021;5783;19.0
01-12-2021;5783;0
01-01-2021;2030;6.9
01-02-2021;2030;12.1
01-03-2021;2030;13.4
01-04-2021;2030;15.4
01-05-2021;2030;19.0
01-06-2021;2030;24.2
01-07-2021;2030;28.6
01-08-2021;2030;30.7
01-09-2021;2030;23.5
01-10-2021;2030;20.2
01-11-2021;2030;10.9
01-12-2021;2030;11.7
01-01-2021;0016A;13.7
01-02-2021;0016A;16.7
01-03-2021;0016A;0
01-04-2021;0016A;18.5
01-05-2021;0016A;23.2
01-06-2021;0016A;28.8
