FECHA;INDICATIVO;DIAS_LLU
01-08-2020;9263D;12
01-09-2020;9263D;11
01-10-2020;9263D;18
01-11-2020;9263D;11
01-12-2020;9263D;20
01-01-2020;1484C;17
01-02-2020;1484C;16
01-03-2020;1484C;14
01-04-2020;1484C;23
01-05-2020;1484C;8
01-06-2020;1484C;13
01-07-2020;1484C;0
01-08-2020;1484C;12
01-09-2020;1484C;12
01-10-2020;1484C;20
01-11-2020;1484C;15
01-12-2020;1484C;26
01-01-2020;1495;21
01-02-2020;1495;16
01-03-2020;1495;11
01-04-2020;1495;23
01-05-2020;1495;10
01-06-2020;1495;16
01-07-2020;1495;3
01-08-2020;1495;10
01-09-2020;1495;14
01-10-2020;1495;23
01-11-2020;1495;15
01-12-2020;1495;24
01-01-2020;2867;9
01-02-2020;2867;2
01-03-2020;2867;12
01-04-2020;2867;20
01-05-2020;2867;7
01-06-2020;2867;6
01-07-2020;2867;4
01-08-2020;2867;3
01-09-2020;2867;8
01-10-2020;2867;9
01-11-2020;2867;11
01-12-2020;2867;18
01-01-2020;C929I;5
01-02-2020;C929I;1
01-03-2020;C929I;7
01-04-2020;C929I;5
01-05-2020;C929I;3
01-06-2020;C929I;5
01-07-2020;C929I;0
01-08-2020;C929I;0
01-09-2020;C929I;5
01-10-2020;C929I;9
01-11-2020;C929I;9
01-12-2020;C929I;16
01-01-2020;C430E;0
01-02-2020;C430E;1
01-03-2020;C430E;4
01-04-2020;C430E;6
01-05-2020;C430E;1
01-06-2020;C430E;3
01-07-2020;C430E;0
01-08-2020;C430E;0
01-09-2020;C430E;4
01-10-2020;C430E;3
01-11-2020;C430E;4
01-12-2020;C430E;8
01-01-2020;C139E;7
01-02-2020;C139E;1
01-03-2020;C139E;11
01-04-2020;C139E;4
01-05-2020;C139E;2
01-06-2020;C139E;9
01-07-2020;C139E;0
01-08-2020;C139E;2
01-09-2020;C139E;5
01-10-2020;C139E;18
01-11-2020;C139E;10
01-12-2020;C139E;22
01-01-2020;C449C;5
01-02-2020;C449C;0
01-03-2020;C449C;13
01-04-2020;C449C;6
01-05-2020;C449C;6
01-06-2020;C449C;4
01-07-2020;C449C;0
01-08-2020;C449C;2
01-09-2020;C449C;5
01-10-2020;C449C;11
01-11-2020;C449C;10
01-12-2020;C449C;16
01-01-2020;C447A;12
01-02-2020;C447A;5
01-03-2020;C447A;16
01-04-2020;C447A;14
01-05-2020;C447A;9
01-06-2020;C447A;12
01-07-2020;C447A;2
01-08-2020;C447A;6
01-09-2020;C447A;8
01-10-2020;C447A;14
01-11-2020;C447A;12
01-12-2020;C447A;22
01-01-2020;C429I;2
01-02-2020;C429I;0
01-03-2020;C429I;4
01-04-2020;C429I;4
01-05-2020;C429I;0
01-06-2020;C429I;4
01-07-2020;C429I;0
01-08-2020;C429I;0
01-09-2020;C429I;2
01-10-2020;C429I;4
01-11-2020;C429I;4
01-12-2020;C429I;9
01-01-2020;2465;13
01-02-2020;2465;8
01-03-2020;2465;10
01-04-2020;2465;20
01-05-2020;2465;12
01-06-2020;2465;10
01-07-2020;2465;6
01-08-2020;2465;5
01-09-2020;2465;10
01-10-2020;2465;14
01-11-2020;2465;11
01-12-2020;2465;17
01-01-2020;5796;7
01-02-2020;5796;3
01-03-2020;5796;12
01-04-2020;5796;12
01-05-2020;5796;10
01-06-2020;5796;1
01-07-2020;5796;1
01-08-2020;5796;3
01-09-2020;5796;4
01-10-2020;5796;4
01-11-2020;5796;14
01-12-2020;5796;13
01-01-2020;5783;8
01-02-2020;5783;2
01-03-2020;5783;10
01-04-2020;5783;12
01-05-2020;5783;8
01-06-2020;5783;1
01-07-2020;5783;1
01-08-2020;5783;2
01-09-2020;5783;6
01-10-2020;5783;4
01-11-2020;5783;13
01-12-2020;5783;9
01-01-2020;2030;11
01-02-2020;2030;6
01-03-2020;2030;5
01-04-2020;2030;26
01-05-2020;2030;9
01-06-2020;2030;9
01-07-2020;2030;8
01-08-2020;2030;5
01-09-2020;2030;12
01-10-2020;2030;13
01-11-2020;2030;11
01-12-2020;2030;13
01-01-2020;0016A;8
01-02-2020;0016A;1
01-03-2020;0016A;11
01-04-2020;0016A;11
01-05-2020;0016A;9
01-06-2020;0016A;7
01-07-2020;0016A;2
01-08-2020;0016A;4
01-09-2020;0016A;4
01-10-2020;0016A;4
01-11-2020;0016A;6
01-12-2020;0016A;3
01-01-2020;9981A;4
01-02-2020;9981A;1
01-03-2020;9981A;12
01-04-2020;9981A;14
01-05-2020;9981A;9
01-06-2020;9981A;5
01-07-2020;9981A;2
01-08-2020;9981A;5
01-09-2020;9981A;4
01-10-2020;9981A;2
01-11-2020;9981A;7
01-12-2020;9981A;8
01-01-2020;9381I;4
01-02-2020;9381I;2
01-03-2020;9381I;9
01-04-2020;9381I;17
01-05-2020;9381I;11
01-06-2020;9381I;9
01-07-2020;9381I;7
01-08-2020;9381I;7
01-09-2020;9381I;8
01-10-2020;9381I;8
01-11-2020;9381I;10
01-12-2020;9381I;11
01-01-2020;8368U;5
01-02-2020;8368U;0
01-03-2020;8368U;11
01-04-2020;8368U;15
01-05-2020;8368U;9
01-06-2020;8368U;8
01-07-2020;8368U;6
01-08-2020;8368U;4
01-09-2020;8368U;5
01-10-2020;8368U;4
01-11-2020;8368U;7
01-12-2020;8368U;7
01-01-2020;8416;6
01-02-2020;8416;4
01-03-2020;8416;14
01-04-2020;8416;14
01-05-2020;8416;8
01-06-2020;8416;5
01-07-2020;8416;5
01-08-2020;8416;2
01-09-2020;8416;7
01-10-2020;8416;5
01-11-2020;8416;8
01-12-2020;8416;7
01-01-2020;8414A;8
01-02-2020;8414A;4
01-03-2020;8414A;15
01-04-2020;8414A;14
01-05-2020;8414A;10
01-06-2020;8414A;3
01-07-2020;8414A;4
01-08-2020;8414A;3
01-09-2020;8414A;6
01-10-2020;8414A;4
01-11-2020;8414A;9
01-12-2020;8414A;7
01-01-2020;2422;15
01-02-2020;2422;5
01-03-2020;2422;10
01-04-2020;2422;25
01-05-2020;2422;11
01-06-2020;2422;6
01-07-2020;2422;5
01-08-2020;2422;5
01-09-2020;2422;7
01-10-2020;2422;12
01-11-2020;2422;11
01-12-2020;2422;15
01-01-2020;2539;12
01-02-2020;2539;3
01-03-2020;2539;7
01-04-2020;2539;21
01-05-2020;2539;8
01-06-2020;2539;6
01-07-2020;2539;4
01-08-2020;2539;6
01-09-2020;2539;7
01-10-2020;2539;8
01-11-2020;2539;10
01-12-2020;2539;14
01-01-2020;2614;13
01-02-2020;2614;3
01-03-2020;2614;9
01-04-2020;2614;21
01-05-2020;2614;9
01-06-2020;2614;2
01-07-2020;2614;3
01-08-2020;2614;3
01-09-2020;2614;6
01-10-2020;2614;14
01-11-2020;2614;14
01-12-2020;2614;15
01-01-2020;9390;5
01-02-2020;9390;2
01-03-2020;9390;7
01-04-2020;9390;19
01-05-2020;9390;11
01-06-2020;9390;10
01-07-2020;9390;5
01-08-2020;9390;6
01-09-2020;9390;7
01-10-2020;9390;5
01-11-2020;9390;10
01-12-2020;9390;15
01-01-2020;9434;9
01-02-2020;9434;2
01-03-2020;9434;13
01-04-2020;9434;18
01-05-2020;9434;12
01-06-2020;9434;11
01-07-2020;9434;5
01-08-2020;9434;5
01-09-2020;9434;10
01-10-2020;9434;11
01-11-2020;9434;0
01-12-2020;9434;10
